issue_d,date_no,loan_records,no_of_loan_defaulters,no_of_loan_non_defaulters,percentage_of_loan_defaulters
Jun-2007,4028055,1,0,1,0.0
Jul-2007,4028056,30,0,30,0.0
Aug-2007,4028057,33,7,26,21.21212121212121
Sep-2007,4028058,18,3,15,16.666666666666664
Oct-2007,4028059,47,10,37,21.27659574468085
Nov-2007,4028060,37,7,30,18.91891891891892
Dec-2007,4028061,85,18,67,21.176470588235293
Jan-2008,4032065,171,31,140,18.128654970760234
Feb-2008,4032066,174,25,149,14.367816091954023
Mar-2008,4032067,236,40,196,16.94915254237288
Apr-2008,4032068,155,27,128,17.419354838709676
May-2008,4032069,71,10,61,14.084507042253522
Jun-2008,4032070,66,7,59,10.606060606060606
Jul-2008,4032071,83,17,66,20.481927710843372
Aug-2008,4032072,71,6,65,8.450704225352112
Sep-2008,4032073,32,5,27,15.625
Oct-2008,4032074,96,15,81,15.625
Nov-2008,4032075,184,31,153,16.847826086956523
Dec-2008,4032076,223,33,190,14.798206278026907
Jan-2009,4036082,239,28,211,11.715481171548117
Feb-2009,4036083,260,34,226,13.076923076923078
Mar-2009,4036084,276,31,245,11.231884057971014
Apr-2009,4036085,290,40,250,13.793103448275861
May-2009,4036086,319,42,277,13.166144200626958
Jun-2009,4036087,356,43,313,12.07865168539326
Jul-2009,4036088,374,47,327,12.566844919786096
Aug-2009,4036089,408,40,368,9.803921568627452
Sep-2009,4036090,449,57,392,12.694877505567929
Oct-2009,4036091,545,87,458,15.963302752293579
Nov-2009,4036092,602,83,519,13.78737541528239
Dec-2009,4036093,598,62,536,10.367892976588628
Jan-2010,4040101,589,76,513,12.903225806451612
Feb-2010,4040102,627,63,564,10.047846889952153
Mar-2010,4040103,737,69,668,9.362279511533243
Apr-2010,4040104,827,82,745,9.915356711003627
May-2010,4040105,920,125,795,13.586956521739129
Jun-2010,4040106,1029,166,863,16.132167152575317
Jul-2010,4040107,1119,137,982,12.243074173369079
Aug-2010,4040108,1078,148,930,13.729128014842301
Sep-2010,4040109,1087,175,912,16.099356025758972
Oct-2010,4040110,1133,161,972,14.210061782877318
Nov-2010,4040111,1121,142,979,12.667261373773417
Dec-2010,4040112,1269,143,1126,11.268715524034672
Jan-2011,4044122,1380,186,1194,13.478260869565217
Feb-2011,4044123,1298,169,1129,13.020030816640988
Mar-2011,4044124,1448,210,1238,14.502762430939226
Apr-2011,4044125,1563,222,1341,14.203454894433781
May-2011,4044126,1704,290,1414,17.018779342723008
Jun-2011,4044127,1835,271,1564,14.768392370572206
Jul-2011,4044128,1875,282,1593,15.040000000000001
Aug-2011,4044129,1934,271,1663,14.012409513960703
Sep-2011,4044130,2067,308,1759,14.90082244799226
Oct-2011,4044131,2118,313,1805,14.778092540132201
Nov-2011,4044132,2232,344,1888,15.412186379928317
Dec-2011,4044133,2267,431,1836,19.01191001323335
Jan-2012,4048145,2601,440,2161,16.916570549788542
Feb-2012,4048146,2558,420,2138,16.419077404222048
Mar-2012,4048147,2912,443,2469,15.212912087912086
Apr-2012,4048148,3200,494,2706,15.437500000000002
May-2012,4048149,3286,567,2719,17.255021302495436
Jun-2012,4048150,3710,710,3000,19.137466307277627
Jul-2012,4048151,4475,814,3661,18.18994413407821
Aug-2012,4048152,5245,876,4369,16.701620591039084
Sep-2012,4048153,5887,939,4948,15.950399184644132
Oct-2012,4048154,6040,950,5090,15.728476821192054
Nov-2012,4048155,6121,1012,5109,16.533246201601045
Dec-2012,4048156,5760,882,4878,15.312500000000002
Jan-2013,4052170,6542,1032,5510,15.774992357077346
Feb-2013,4052171,7133,1125,6008,15.771765035749333
Mar-2013,4052172,7752,1162,6590,14.989680082559339
Apr-2013,4052173,8796,1445,7351,16.42792178262847
May-2013,4052174,9593,1634,7959,17.033253413947673
Jun-2013,4052175,10094,1681,8413,16.653457499504658
