tree,no_of_nodes,tree_depth,window_sizes
tree_0,835,22,5000
tree_1,787,24,5000
tree_2,803,25,5000
tree_3,819,28,5000
tree_4,813,25,5000
tree_5,751,26,5000
tree_6,699,23,5000
tree_7,735,25,5000
tree_8,757,32,5000
tree_9,787,24,5000
tree_10,815,29,5000
tree_11,879,26,5000
tree_12,805,24,5000
tree_13,843,22,5000
tree_14,803,26,5000
tree_15,775,19,5000
tree_16,779,24,5000
tree_17,799,29,5000
tree_18,831,25,5000
tree_19,795,26,5000
tree_20,823,32,5000
tree_21,839,29,5000
tree_22,859,36,5000
tree_23,821,25,5000
tree_24,889,21,5000
tree_25,885,27,5000
tree_26,823,25,5000
tree_27,871,25,5000
tree_28,835,27,5000
tree_29,817,26,5000
tree_30,837,26,5000
tree_31,837,29,5000
tree_32,831,28,5000
tree_33,863,28,5000
tree_34,859,23,5000
tree_35,853,27,5000
tree_36,965,22,5000
tree_37,961,31,5000
tree_38,949,27,5000
tree_39,919,23,5000
tree_40,955,23,5000
tree_41,941,28,5000
tree_42,901,22,5000
tree_43,895,28,5000
tree_44,881,26,5000
tree_45,857,28,5000
tree_46,807,24,5000
tree_47,801,24,5000
tree_48,803,28,5000
tree_49,857,33,5000
tree_50,861,25,5000
tree_51,845,28,5000
tree_52,879,24,5000
tree_53,887,22,5000
tree_54,931,33,5000
tree_55,947,33,5000
tree_56,921,30,5000
tree_57,901,22,5000
tree_58,869,28,5000
tree_59,887,30,5000
tree_60,895,25,5000
tree_61,803,20,5000
tree_62,825,27,5000
tree_63,829,24,5000
tree_64,861,39,5000
tree_65,813,31,5000
tree_66,821,24,5000
tree_67,793,27,5000
tree_68,779,22,5000
tree_69,819,36,5000
tree_70,781,25,5000
tree_71,805,27,5000
tree_72,779,25,5000
tree_73,757,25,5000
tree_74,767,21,5000
tree_75,763,32,5000
tree_76,769,25,5000
tree_77,757,24,5000
tree_78,783,21,5000
tree_79,811,24,5000
tree_80,827,25,5000
tree_81,809,29,5000
tree_82,821,25,5000
tree_83,791,27,5000
tree_84,801,26,5000
tree_85,753,25,5000
tree_86,799,26,5000
tree_87,765,27,5000
tree_88,745,22,5000
tree_89,741,22,5000
tree_90,747,27,5000
tree_91,741,31,5000
tree_92,775,21,5000
tree_93,769,27,5000
tree_94,797,34,5000
tree_95,767,21,5000
tree_96,777,28,5000
tree_97,787,28,5000
tree_98,771,27,5000
tree_99,761,28,5000
tree_100,743,26,5000
tree_101,827,31,5000
tree_102,799,26,5000
tree_103,783,30,5000
tree_104,741,26,5000
tree_105,755,26,5000
tree_106,777,29,5000
tree_107,753,20,5000
tree_108,767,22,5000
tree_109,729,28,5000
tree_110,777,22,5000
tree_111,753,22,5000
tree_112,791,28,5000
tree_113,763,27,5000
tree_114,779,25,5000
tree_115,791,26,5000
tree_116,811,25,5000
tree_117,835,27,5000
tree_118,803,25,5000
tree_119,781,23,5000
tree_120,787,24,5000
tree_121,807,24,5000
tree_122,847,29,5000
tree_123,863,23,5000
tree_124,831,24,5000
tree_125,803,24,5000
tree_126,751,23,5000
tree_127,747,26,5000
tree_128,765,30,5000
tree_129,779,38,5000
tree_130,785,23,5000
tree_131,767,23,5000
tree_132,831,23,5000
tree_133,829,27,5000
tree_134,839,35,5000
tree_135,813,29,5000
tree_136,779,34,5000
tree_137,755,22,5000
tree_138,735,25,5000
tree_139,765,21,5000
tree_140,785,21,5000
tree_141,759,28,5000
tree_142,803,24,5000
tree_143,797,24,5000
tree_144,813,21,5000
tree_145,813,28,5000
tree_146,805,25,5000
tree_147,761,21,5000
tree_148,733,25,5000
tree_149,765,28,5000
tree_150,755,27,5000
tree_151,785,24,5000
tree_152,807,24,5000
tree_153,769,26,5000
tree_154,779,26,5000
tree_155,761,23,5000
tree_156,799,31,5000
tree_157,821,25,5000
tree_158,809,26,5000
tree_159,773,30,5000
tree_160,759,25,5000
tree_161,761,30,5000
tree_162,749,22,5000
tree_163,759,27,5000
tree_164,763,23,5000
tree_165,799,29,5000
tree_166,831,25,5000
tree_167,785,22,5000
tree_168,793,22,5000
tree_169,779,24,5000
tree_170,801,27,5000
tree_171,791,26,5000
tree_172,769,23,5000
tree_173,777,29,5000
tree_174,729,22,5000
tree_175,761,20,5000
tree_176,809,22,5000
tree_177,783,25,5000
tree_178,777,21,5000
tree_179,771,20,5000
tree_180,779,26,5000
tree_181,805,24,5000
tree_182,781,29,5000
tree_183,757,26,5000
tree_184,739,22,5000
tree_185,735,19,5000
tree_186,771,23,5000
tree_187,753,27,5000
tree_188,751,34,5000
tree_189,775,29,5000
tree_190,741,23,5000
tree_191,771,25,5000
tree_192,771,22,5000
tree_193,811,30,5000
tree_194,785,31,5000
tree_195,775,25,5000
tree_196,739,25,5000
tree_197,733,24,5000
tree_198,745,27,5000
tree_199,741,31,5000
tree_200,721,23,5000
tree_201,747,31,5000
tree_202,711,22,5000
tree_203,727,24,5000
tree_204,755,26,5000
tree_205,765,24,5000
tree_206,803,33,5000
tree_207,805,27,5000
tree_208,787,25,5000
tree_209,745,22,5000
tree_210,737,27,5000
tree_211,763,33,5000
tree_212,757,32,5000
tree_213,741,27,5000
tree_214,789,29,5000
tree_215,773,25,5000
tree_216,831,21,5000
tree_217,797,27,5000
tree_218,857,23,5000
tree_219,789,23,5000
tree_220,775,32,5000
tree_221,799,31,5000
tree_222,785,25,5000
tree_223,773,29,5000
tree_224,775,29,5000
tree_225,765,22,5000
tree_226,789,25,5000
tree_227,775,34,5000
tree_228,775,22,5000
tree_229,785,27,5000
tree_230,759,22,5000
tree_231,757,23,5000
tree_232,785,27,5000
tree_233,801,29,5000
tree_234,787,20,5000
tree_235,813,26,5000
tree_236,783,29,5000
tree_237,771,20,5000
tree_238,797,26,5000
tree_239,807,28,5000
tree_240,803,25,5000
tree_241,763,26,5000
tree_242,779,23,5000
tree_243,735,24,5000
tree_244,757,31,5000
tree_245,741,25,5000
tree_246,793,24,5000
tree_247,791,22,5000
tree_248,809,27,5000
tree_249,813,30,5000
tree_250,809,29,5000
tree_251,823,22,5000
tree_252,825,25,5000
tree_253,829,38,5000
tree_254,789,24,5000
tree_255,779,26,5000
tree_256,809,23,5000
tree_257,819,29,5000
tree_258,795,29,5000
tree_259,821,25,5000
tree_260,801,29,5000
tree_261,783,28,5000
tree_262,771,24,5000
tree_263,799,26,5000
tree_264,807,23,5000
tree_265,857,33,5000
tree_266,837,30,5000
tree_267,825,26,5000
tree_268,895,25,5000
tree_269,873,24,5000
tree_270,863,24,5000
tree_271,955,27,5000
tree_272,983,27,5000
tree_273,999,30,5000
tree_274,933,25,5000
tree_275,943,26,5000
tree_276,943,31,5000
tree_277,957,25,5000
tree_278,951,24,5000
tree_279,931,20,5000
