model_no,run,train_data,validation_data,test_data,remove_features,scaled,val_random,epochs,batch_size,dropout_1,dropout_2,optimizer,learning_rate,loss,layer_1,layer_2,activation_function_1,activation_function_2,output_activation_function,model_metric,eval_auc_roc,auc_roc_label,auc_roc_prob,my_auc_roc,accuracy,precision,recall,f1_score,tp,fp,tn,fn,val_eval_auc_roc,val_auc_roc_label,val_auc_roc_prob,val_my_auc_roc,val_accuracy,val_precision,val_recall,val_f1_score,val_tp,val_fp,val_tn,val_fn,best_epoch,best_loss,best_eval_auc_roc,best_auc_roc_label,best_auc_roc_prob,best_my_auc_roc,best_accuracy
0,False,train_0,validation_0,test_0,False,True,False,300,64,0.5,0.5,Adam,0.0005,binary_crossentropy,120,60,leaky relu 0.1,leaky relu 0.1,sigmoid,AUC accuracy,0.7099121809005737,0.5572509451806987,0.7099049001595152,0.7075422432288584,0.7284,0.5816326530612245,0.16033755274261605,0.2513781697905182,228.0,164.0,3414.0,1194.0,0.7277687191963196,0.5642013775842939,0.7277356067607468,0.7245175512806965,0.7464,0.597911227154047,0.17051377513030527,0.2653534183082271,228.0,164.0,3414.0,1194.0,23.0,0.5161794610023499,0.7277687191963196,0.5642013775842939,0.7277356067607468,0.7245175512806965,0.7464
1,False,train_1,validation_1,test_1,False,True,False,300,64,0.5,0.5,Adam,0.0005,binary_crossentropy,120,60,leaky relu 0.1,leaky relu 0.1,sigmoid,AUC accuracy,0.7156276106834412,0.5662310635098163,0.7156804716258317,0.7142999960703278,0.7442,0.5754716981132075,0.18168279970215934,0.2761743067345784,244.0,180.0,3477.0,1099.0,0.7139829993247986,0.5642337648656149,0.7138920925581319,0.7111681875251085,0.7296,0.5788288288288288,0.18073136427566808,0.2754555198285102,244.0,180.0,3477.0,1099.0,14.0,0.5371512633323671,0.7139829993247986,0.5642337648656149,0.7138920925581319,0.7111681875251085,0.7296
2,False,train_2,validation_2,test_2,False,True,False,300,64,0.5,0.5,Adam,0.0005,binary_crossentropy,120,60,leaky relu 0.1,leaky relu 0.1,sigmoid,AUC accuracy,0.714783787727356,0.552775761408855,0.7148109684080908,0.7117660516941092,0.7364,0.6055900621118012,0.1406926406926407,0.2283372365339579,195.0,127.0,3487.0,1191.0,0.7106500267982483,0.5512003723619021,0.7105882882327084,0.7082500314068371,0.7422,0.5849056603773585,0.13849590469099032,0.2239614689945816,195.0,127.0,3487.0,1191.0,18.0,0.5252543489456176,0.7106500267982483,0.5512003723619021,0.7105882882327084,0.7082500314068371,0.7422
3,False,train_3,validation_3,test_3,False,True,False,300,64,0.5,0.5,Adam,0.0005,binary_crossentropy,120,60,leaky relu 0.1,leaky relu 0.1,sigmoid,AUC accuracy,0.7177077531814575,0.5625572463722924,0.7177249152507252,0.7153027889255718,0.7394,0.5816831683168316,0.17165814463111762,0.2650874224478285,235.0,169.0,3462.0,1134.0,0.7199380993843079,0.5619432525907345,0.7200455419879879,0.7190513323606847,0.7384,0.6020942408376964,0.16594516594516595,0.26018099547511314,235.0,169.0,3462.0,1134.0,29.0,0.5269519178390503,0.7199380993843079,0.5619432525907345,0.7200455419879879,0.7190513323606847,0.7384
4,False,train_4,validation_4,test_4,False,True,False,300,64,0.5,0.5,Adam,0.0005,binary_crossentropy,120,60,leaky relu 0.1,leaky relu 0.1,sigmoid,AUC accuracy,0.7228413224220276,0.5633531746031746,0.7228513888888889,0.7209291666666665,0.7314,0.5631929046563193,0.18142857142857144,0.2744462452728255,254.0,197.0,3403.0,1146.0,0.7192496657371521,0.572184997341495,0.7192234550344521,0.7179322243186714,0.7438,0.6,0.19284149013878746,0.2918739635157545,254.0,197.0,3403.0,1146.0,33.0,0.5247498271942138,0.7192496657371521,0.572184997341495,0.7192234550344521,0.7179322243186714,0.7438
5,False,train_5,validation_5,test_5,False,True,False,300,64,0.5,0.5,Adam,0.0005,binary_crossentropy,120,60,leaky relu 0.1,leaky relu 0.1,sigmoid,AUC accuracy,0.7346183061599731,0.5630494002109895,0.734714428660818,0.7329750106945347,0.7504,0.6,0.16578349735049205,0.25978647686832745,219.0,146.0,3533.0,1102.0,0.7246434092521667,0.5629960317460317,0.7245476190476191,0.7221972222222222,0.7356,0.5975,0.1707142857142857,0.26555555555555554,219.0,146.0,3533.0,1102.0,16.0,0.5280961795806884,0.7246434092521667,0.5629960317460317,0.7245476190476191,0.7221972222222222,0.7356
6,False,train_6,validation_6,test_6,False,True,False,300,64,0.5,0.5,Adam,0.0005,binary_crossentropy,120,60,leaky relu 0.1,leaky relu 0.1,sigmoid,AUC accuracy,0.7212190628051758,0.5594704773967458,0.7212259566769355,0.7197151445728315,0.7404,0.5670886075949367,0.16580310880829016,0.2565864833906071,224.0,171.0,3478.0,1127.0,0.7350376844406128,0.5665333802198743,0.7351451936117157,0.7339249158274792,0.7516,0.6036745406824147,0.17411052233156699,0.27027027027027023,224.0,171.0,3478.0,1127.0,20.0,0.5075914605140686,0.7350376844406128,0.5665333802198743,0.7351451936117157,0.7339249158274792,0.7516
7,False,train_7,validation_7,test_7,False,True,False,300,64,0.5,0.5,Adam,0.0005,binary_crossentropy,120,60,leaky relu 0.1,leaky relu 0.1,sigmoid,AUC accuracy,0.7172784209251404,0.5623379644524077,0.7173609055677369,0.7148678225491119,0.7332,0.5859564164648909,0.17224199288256228,0.2662266226622662,242.0,171.0,3424.0,1163.0,0.7179009914398193,0.5640358765134238,0.7179110142218779,0.7164490884922489,0.7406,0.5625,0.17986676535899335,0.2725743129556927,242.0,171.0,3424.0,1163.0,16.0,0.5247995513916016,0.7179009914398193,0.5640358765134238,0.7179110142218779,0.7164490884922489,0.7406
8,False,train_8,validation_8,test_8,False,True,False,300,64,0.5,0.5,Adam,0.0005,binary_crossentropy,120,60,leaky relu 0.1,leaky relu 0.1,sigmoid,AUC accuracy,0.7370551228523254,0.5699550548505838,0.7370498091431414,0.7349217612470234,0.7476,0.6144278606965174,0.1824224519940916,0.28132118451025057,247.0,155.0,3491.0,1107.0,0.7202355861663818,0.5740079885566647,0.7201819450700112,0.7180845282346477,0.7372,0.5957894736842105,0.201423487544484,0.3010638297872341,247.0,155.0,3491.0,1107.0,18.0,0.5300279357910156,0.7202355861663818,0.5740079885566647,0.7201819450700112,0.7180845282346477,0.7372
9,False,train_9,validation_9,test_9,False,True,False,300,64,0.5,0.5,Adam,0.0005,binary_crossentropy,120,60,leaky relu 0.1,leaky relu 0.1,sigmoid,AUC accuracy,0.7340736389160156,0.5594646280858402,0.7341615543255335,0.7325293601432135,0.7444,0.587431693989071,0.1602086438152012,0.25175644028103045,215.0,151.0,3507.0,1127.0,0.7355809807777405,0.5541811061838271,0.7357029536425664,0.7331025238804023,0.7422,0.6,0.14401772525849335,0.23228111971411555,215.0,151.0,3507.0,1127.0,10.0,0.5152280437469482,0.7355809807777405,0.5541811061838271,0.7357029536425664,0.7331025238804023,0.7422
