model_num,run,remove_features,scaled,val_random,prediction_threshold,trials,sampling_technique,sub_sampling_seed,sampling_technique_seed,train_set_name,validation_set_name,test_set_name,objective,boosting_type,scale_pos_weight,learning_rate,num_leaves,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,min_child_samples
0,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_0,test_0,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
1,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_1,test_1,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
2,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_2,test_2,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
3,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_3,test_3,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
4,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_4,test_4,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
5,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_5,test_5,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
6,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_6,test_6,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
7,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_7,test_7,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
8,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_8,test_8,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
9,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_9,test_9,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
10,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_10,test_10,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
11,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_11,test_11,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
12,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_12,test_12,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
