model_no,run,remove_features,scaled,val_random,apply_pca,prediction_threshold,trials,sampling_technique,sub_sampling_seed,sampling_technique_seed,train_set_name,validation_set_name,test_set_name,objective,scale_pos_weight,learning_rate,gamma,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,colsample_bylevel,colsample_bynode
0,False,False,False,False,False,0.5,100,,8091,7013,ohe_use_p2p_lendingclub_filtered_sorted_by_issue_d_and_then_id_70_percent,ohe_validation,ohe_use_p2p_lendingclub_filtered_sorted_by_issue_d_and_then_id_30_percent,[binary:logistic],[1 2],[0.01 0.2],[0 5],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[0.3 0.7],[0.3 0.7]
1,False,False,False,False,False,0.5,100,,8091,7013,ohe_use_p2p_lendingclub_filtered_sorted_by_issue_d_and_then_id_70_percent,ohe_validation,ohe_ordered_30_without_last_25000,[binary:logistic],[1 2],[0.01 0.2],[0 5],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[0.3 0.7],[0.3 0.7]
2,False,False,False,False,False,0.5,100,,8091,7013,ohe_sorted_by_issue_d_and_then_id_train_data_20461_20240,ohe_validation,ohe_use_p2p_lendingclub_filtered_sorted_by_issue_d_and_then_id_30_percent,[binary:logistic],[1 2],[0.01 0.2],[0 5],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[0.3 0.7],[0.3 0.7]
3,False,False,False,False,False,0.5,100,,8091,7013,ohe_sorted_by_issue_d_and_then_id_train_data_20461_20240,ohe_validation,ohe_ordered_30_without_last_25000,[binary:logistic],[1 2],[0.01 0.2],[0 5],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[0.3 0.7],[0.3 0.7]
4,False,False,False,False,False,0.5,100,RU,8091,7013,ohe_use_p2p_lendingclub_filtered_sorted_by_issue_d_and_then_id_70_percent,ohe_validation,ohe_use_p2p_lendingclub_filtered_sorted_by_issue_d_and_then_id_30_percent,[binary:logistic],[1 2],[0.01 0.2],[0 5],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[0.3 0.7],[0.3 0.7]
5,False,False,False,False,False,0.5,100,RU,8091,7013,ohe_use_p2p_lendingclub_filtered_sorted_by_issue_d_and_then_id_70_percent,ohe_validation,ohe_ordered_30_without_last_25000,[binary:logistic],[1 2],[0.01 0.2],[0 5],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[0.3 0.7],[0.3 0.7]
6,False,False,False,False,False,0.5,100,RU,8091,7013,ohe_sorted_by_issue_d_and_then_id_train_data_20461_20240,ohe_validation,ohe_use_p2p_lendingclub_filtered_sorted_by_issue_d_and_then_id_30_percent,[binary:logistic],[1 2],[0.01 0.2],[0 5],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[0.3 0.7],[0.3 0.7]
7,False,False,False,False,False,0.5,100,RU,8091,7013,ohe_sorted_by_issue_d_and_then_id_train_data_20461_20240,ohe_validation,ohe_ordered_30_without_last_25000,[binary:logistic],[1 2],[0.01 0.2],[0 5],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[0.3 0.7],[0.3 0.7]
8,False,False,False,False,False,0.5,100,SM,8091,7013,ohe_use_p2p_lendingclub_filtered_sorted_by_issue_d_and_then_id_70_percent,ohe_validation,ohe_use_p2p_lendingclub_filtered_sorted_by_issue_d_and_then_id_30_percent,[binary:logistic],[1 2],[0.01 0.2],[0 5],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[0.3 0.7],[0.3 0.7]
9,False,False,False,False,False,0.5,100,SM,8091,7013,ohe_use_p2p_lendingclub_filtered_sorted_by_issue_d_and_then_id_70_percent,ohe_validation,ohe_ordered_30_without_last_25000,[binary:logistic],[1 2],[0.01 0.2],[0 5],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[0.3 0.7],[0.3 0.7]
